Pattern, Target, Solution size, Nodes, Cut branches, Conflicts, Elapsed time, Best time
./data/si/si4_bvg_b03_200/si4_b03_m200.08/pattern, ./data/si/si4_bvg_b03_200/si4_b03_m200.08/target, 80, 363, 283, 0, 3, 2
./data/si/si6_bvg_b03_400/si6_b03_m400.09/pattern, ./data/si/si6_bvg_b03_400/si6_b03_m400.09/target, 240, 883, 643, 1, 12, 9
./data/si/si6_bvg_b03m_200/si6_b03m_m200.00/pattern, ./data/si/si6_bvg_b03m_200/si6_b03m_m200.00/target, 120, 10772, 7236, 1863, 23, 22
./data/si/si6_bvg_b03m_200/si6_b03m_m200.06/pattern, ./data/si/si6_bvg_b03m_200/si6_b03m_m200.06/target, 120, 741, 511, 271, 4, 3
./data/si/si4_bvg_b03_800/si4_b03_m800.09/pattern, ./data/si/si4_bvg_b03_800/si4_b03_m800.09/target, 320, 1443, 1123, 0, 41, 30
./data/si/si2_bvg_b03_800/si2_b03_m800.04/pattern, ./data/si/si2_bvg_b03_800/si2_b03_m800.04/target, 160, 1123, 963, 0, 36, 25
./data/si/si2_bvg_b09_800/si2_b09_m800.05/pattern, ./data/si/si2_bvg_b09_800/si2_b09_m800.05/target, 160, 1132, 972, 11, 37, 26
./data/si/si6_bvg_b06_200/si6_b06_m200.05/pattern, ./data/si/si6_bvg_b06_200/si6_b06_m200.05/target, 120, 446, 326, 5, 3, 2
./data/si/si6_bvg_b09m_800/si6_b09m_m800.02/pattern, ./data/si/si6_bvg_b09m_800/si6_b09m_m800.02/target, 480, 1808, 1328, 847, 59, 45
./data/si/si2_bvg_b09_800/si2_b09_m800.01/pattern, ./data/si/si2_bvg_b09_800/si2_b09_m800.01/target, 160, 1131, 971, 10, 35, 24
./data/si/si2_bvg_b06_800/si2_b06_m800.06/pattern, ./data/si/si2_bvg_b06_800/si2_b06_m800.06/target, 160, 1126, 966, 5, 35, 24
./data/si/si2_bvg_b03m_200/si2_b03m_m200.06/pattern, ./data/si/si2_bvg_b03m_200/si2_b03m_m200.06/target, 40, 318, 278, 225, 2, 1
./data/si/si6_bvg_b03_400/si6_b03_m400.05/pattern, ./data/si/si6_bvg_b03_400/si6_b03_m400.05/target, 240, 883, 643, 1, 13, 9
./data/si/si6_bvg_b09m_400/si6_b09m_m400.03/pattern, ./data/si/si6_bvg_b09m_400/si6_b09m_m400.03/target, 240, 908, 668, 426, 16, 12
./data/si/si2_bvg_b09m_200/si2_b09m_m200.07/pattern, ./data/si/si2_bvg_b09m_200/si2_b09m_m200.07/target, 40, 1913, 1642, 383, 5, 4
./data/si/si2_m4D_m4D_256/si2_m4D_m256.09/pattern, ./data/si/si2_m4D_m4D_256/si2_m4D_m256.09/target, 51, 6004, 3441, 1168, 18, 17
./data/si/si4_bvg_b06m_800/si4_b06m_m800.09/pattern, ./data/si/si4_bvg_b06m_800/si4_b06m_m800.09/target, 320, 1629, 1275, 852, 45, 33
./data/si/si2_bvg_b06_200/si2_b06_m200.05/pattern, ./data/si/si2_bvg_b06_200/si2_b06_m200.05/target, 40, 286, 246, 5, 2, 1
./data/si/si6_bvg_b06_400/si6_b06_m400.01/pattern, ./data/si/si6_bvg_b06_400/si6_b06_m400.01/target, 240, 886, 646, 5, 13, 9
./data/si/si4_bvg_b06_400/si4_b06_m400.06/pattern, ./data/si/si4_bvg_b06_400/si4_b06_m400.06/target, 160, 726, 566, 5, 11, 7
./data/si/si2_m4D_m4D_256/si2_m4D_m256.08/pattern, ./data/si/si2_m4D_m4D_256/si2_m4D_m256.08/target, 51, 44245, 24563, 7703, 113, 111
./data/si/si2_bvg_b03m_200/si2_b03m_m200.00/pattern, ./data/si/si2_bvg_b03m_200/si2_b03m_m200.00/target, 40, 3863, 3269, 654, 10, 9
./data/si/si2_bvg_b03_800/si2_b03_m800.01/pattern, ./data/si/si2_bvg_b03_800/si2_b03_m800.01/target, 160, 1123, 963, 1, 35, 24
./data/si/si4_bvg_b09_800/si4_b09_m800.02/pattern, ./data/si/si4_bvg_b09_800/si4_b09_m800.02/target, 320, 1451, 1131, 10, 42, 30
./data/si/si6_bvg_b03_800/si6_b03_m800.03/pattern, ./data/si/si6_bvg_b03_800/si6_b03_m800.03/target, 480, 1763, 1283, 1, 49, 37
./data/si/si2_bvg_b03_400/si2_b03_m400.07/pattern, ./data/si/si2_bvg_b03_400/si2_b03_m400.07/target, 80, 563, 483, 1, 9, 6
./data/si/si2_bvg_b06_800/si2_b06_m800.05/pattern, ./data/si/si2_bvg_b06_800/si2_b06_m800.05/target, 160, 1126, 966, 5, 38, 27
./data/si/si6_m4D_m4Dr2_1296/si6_m4Dr2_m1296.08/pattern, ./data/si/si6_m4D_m4Dr2_1296/si6_m4Dr2_m1296.08/target, 777, 2885, 2108, 1313, 144, 110
./data/si/si4_bvg_b09m_400/si4_b09m_m400.02/pattern, ./data/si/si4_bvg_b09m_400/si4_b09m_m400.02/target, 160, 746, 586, 418, 11, 8
./data/si/si6_bvg_b06_800/si6_b06_m800.03/pattern, ./data/si/si6_bvg_b06_800/si6_b06_m800.03/target, 480, 1766, 1286, 5, 50, 37
./data/si/si6_bvg_b03m_200/si6_b03m_m200.09/pattern, ./data/si/si6_bvg_b03m_200/si6_b03m_m200.09/target, 120, 1281, 950, 347, 5, 4
./data/si/si2_bvg_b06_400/si2_b06_m400.06/pattern, ./data/si/si2_bvg_b06_400/si2_b06_m400.06/target, 80, 566, 486, 5, 10, 7
./data/si/si4_bvg_b06m_200/si4_b06m_m200.03/pattern, ./data/si/si4_bvg_b06m_200/si4_b06m_m200.03/target, 80, 447, 349, 229, 3, 2
./data/si/si4_bvg_b09_400/si4_b09_m400.09/pattern, ./data/si/si4_bvg_b09_400/si4_b09_m400.09/target, 160, 731, 571, 10, 11, 8
./data/si/si4_bvg_b09_400/si4_b09_m400.00/pattern, ./data/si/si4_bvg_b09_400/si4_b09_m400.00/target, 160, 732, 572, 11, 11, 8
./data/si/si6_bvg_b03_400/si6_b03_m400.03/pattern, ./data/si/si6_bvg_b03_400/si6_b03_m400.03/target, 240, 883, 643, 1, 13, 10
./data/si/si2_bvg_b09_200/si2_b09_m200.09/pattern, ./data/si/si2_bvg_b09_200/si2_b09_m200.09/target, 40, 291, 251, 10, 3, 2
./data/si/si6_m4D_m4Dr6_625/si6_m4Dr6_m625.01/pattern, ./data/si/si6_m4D_m4Dr6_625/si6_m4Dr6_m625.01/target, 375, 1411, 1036, 654, 35, 27
./data/si/si6_bvg_b03_200/si6_b03_m200.03/pattern, ./data/si/si6_bvg_b03_200/si6_b03_m200.03/target, 120, 443, 323, 0, 3, 2
./data/si/si6_bvg_b03_800/si6_b03_m800.06/pattern, ./data/si/si6_bvg_b03_800/si6_b03_m800.06/target, 480, 1763, 1283, 1, 49, 37
./data/si/si6_bvg_b06_200/si6_b06_m200.01/pattern, ./data/si/si6_bvg_b06_200/si6_b06_m200.01/target, 120, 446, 326, 5, 3, 2
./data/si/si4_bvg_b09_400/si4_b09_m400.06/pattern, ./data/si/si4_bvg_b09_400/si4_b09_m400.06/target, 160, 732, 572, 11, 11, 8
./data/si/si2_bvg_b03m_200/si2_b03m_m200.07/pattern, ./data/si/si2_bvg_b03m_200/si2_b03m_m200.07/target, 40, 1565, 1194, 627, 4, 3
./data/si/si6_bvg_b03_800/si6_b03_m800.00/pattern, ./data/si/si6_bvg_b03_800/si6_b03_m800.00/target, 480, 1763, 1283, 0, 49, 37
./data/si/si2_bvg_b09_800/si2_b09_m800.03/pattern, ./data/si/si2_bvg_b09_800/si2_b09_m800.03/target, 160, 1131, 971, 10, 36, 25
./data/si/si2_bvg_b06_200/si2_b06_m200.00/pattern, ./data/si/si2_bvg_b06_200/si2_b06_m200.00/target, 40, 286, 246, 5, 2, 1
./data/si/si2_bvg_b09_400/si2_b09_m400.06/pattern, ./data/si/si2_bvg_b09_400/si2_b09_m400.06/target, 80, 572, 492, 11, 9, 6
./data/si/si6_bvg_b09_200/si6_b09_m200.01/pattern, ./data/si/si6_bvg_b09_200/si6_b09_m200.01/target, 120, 451, 331, 10, 3, 2
./data/si/si2_bvg_b03_400/si2_b03_m400.06/pattern, ./data/si/si2_bvg_b03_400/si2_b03_m400.06/target, 80, 563, 483, 0, 8, 6
./data/si/si6_bvg_b03_400/si6_b03_m400.07/pattern, ./data/si/si6_bvg_b03_400/si6_b03_m400.07/target, 240, 883, 643, 1, 13, 10
./data/si/si2_bvg_b09_400/si2_b09_m400.05/pattern, ./data/si/si2_bvg_b09_400/si2_b09_m400.05/target, 80, 572, 492, 11, 9, 6
./data/si/si4_bvg_b06m_200/si4_b06m_m200.05/pattern, ./data/si/si4_bvg_b06m_200/si4_b06m_m200.05/target, 80, 442, 347, 236, 3, 2
./data/si/si2_bvg_b03_800/si2_b03_m800.00/pattern, ./data/si/si2_bvg_b03_800/si2_b03_m800.00/target, 160, 1123, 963, 0, 36, 26
./data/si/si4_bvg_b09_400/si4_b09_m400.02/pattern, ./data/si/si4_bvg_b09_400/si4_b09_m400.02/target, 160, 731, 571, 10, 11, 8
./data/si/si6_bvg_b03_800/si6_b03_m800.05/pattern, ./data/si/si6_bvg_b03_800/si6_b03_m800.05/target, 480, 1763, 1283, 0, 50, 38
./data/si/si4_bvg_b09_800/si4_b09_m800.07/pattern, ./data/si/si4_bvg_b09_800/si4_b09_m800.07/target, 320, 1451, 1131, 10, 42, 31
./data/si/si2_bvg_b03_400/si2_b03_m400.03/pattern, ./data/si/si2_bvg_b03_400/si2_b03_m400.03/target, 80, 563, 483, 1, 9, 6
./data/si/si2_bvg_b03m_200/si2_b03m_m200.03/pattern, ./data/si/si2_bvg_b03m_200/si2_b03m_m200.03/target, 40, 333, 293, 213, 2, 1
./data/si/si2_bvg_b06_800/si2_b06_m800.00/pattern, ./data/si/si2_bvg_b06_800/si2_b06_m800.00/target, 160, 1126, 966, 5, 36, 25
./data/si/si6_bvg_b03_200/si6_b03_m200.02/pattern, ./data/si/si6_bvg_b03_200/si6_b03_m200.02/target, 120, 443, 323, 0, 3, 2
./data/si/si4_bvg_b06_800/si4_b06_m800.08/pattern, ./data/si/si4_bvg_b06_800/si4_b06_m800.08/target, 320, 1446, 1126, 5, 42, 30
./data/si/si4_bvg_b06_400/si4_b06_m400.03/pattern, ./data/si/si4_bvg_b06_400/si4_b06_m400.03/target, 160, 726, 566, 5, 11, 7
./data/si/si2_bvg_b06_400/si2_b06_m400.08/pattern, ./data/si/si2_bvg_b06_400/si2_b06_m400.08/target, 80, 566, 486, 5, 10, 7
./data/si/si6_bvg_b06_400/si6_b06_m400.03/pattern, ./data/si/si6_bvg_b06_400/si6_b06_m400.03/target, 240, 886, 646, 5, 13, 10
./data/si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.05/pattern, ./data/si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.05/target, 51, 15238, 10264, 2124, 38, 37
